,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured
107,BMW,X7 M,118.75,31.897,Automatic,Petrol,Car Company,530,390,2021,7
108,Hyundai,KONA,15.49,77.264,Manual,Petrol,Car Company,120,88,2018,11
109,Mercedes-Benz,AMG GT,169.95,9.768,Automatic,Petrol,Car Company,585,430,2018,8
110,Alpina,D5,44.5,157.598,Automatic,Diesel,Car Company,387,285,2018,2
111,Mercedes-Benz,C 220,32.1,85.067,Automatic,Diesel,Car Company,194,143,2019,1
112,BMW,530,33.5,106.0,Automatic,Electric/Petrol,Car Company,252,185,2018,6
113,BMW,X5,99.995,7.239,Automatic,Electric/Petrol,Car Company,394,290,2022,4
114,Porsche,Boxster,32.0,89.0,Manual,Petrol,Car Company,256,188,2010,7
115,MINI,John Cooper Works Cabrio,12.49,93.0,Manual,Petrol,Car Company,211,155,2004,12
116,Volkswagen,T-Roc,24.95,32.233,Automatic,Petrol,Car Company,150,110,2019,12
117,Aston Martin,V8,64.95,36.1,Automatic,Petrol,Car Company,426,313,2009,3
118,BMW,X1,23.9,69.0,Automatic,Diesel,Car Company,136,100,2017,12
119,Opel,Astra,18.9,95.381,Manual,Petrol,Car Company,280,206,2013,3
120,Porsche,911,149.99,35.0,Automatic,Petrol,Car Company,560,412,2015,7
121,Corvette,Stingray,134.9,5.9,Automatic,Petrol,Car Company,481,354,2022,7
122,Volkswagen,Passat Variant,23.95,104.002,Automatic,Diesel,Car Company,150,110,2019,2
123,Audi,TT,30.2,31.583,Automatic,Petrol,Car Company,230,169,2015,4
124,BMW,X7,119.49,18.0,Automatic,Petrol,Car Company,530,390,2021,9
125,BMW,M5,74.9,49.957,Automatic,Petrol,Car Company,600,441,2019,2
126,BMW,M2,43.95,72.597,Automatic,Petrol,Car Company,370,272,2019,1
127,MINI,John Cooper Works,29.45,55.612,Automatic,Petrol,Car Company,231,170,2018,3
128,Porsche,911,184.95,27.3,Manual,Petrol,Car Company,500,368,2018,1
129,Mercedes-Benz,E 220,35.99,119.6,Automatic,Diesel,Car Company,194,143,2019,4
130,Audi,Q2,21.5,101.0,Automatic,Diesel,Car Company,116,85,2017,12
131,Audi,RS3,47.999,63.0,Automatic,Petrol,Car Company,400,294,2019,3
132,BMW,420,26.999,50.248,Automatic,Petrol,Car Company,163,120,2017,5
133,Jaguar,F-Type,90.9,0.0,Automatic,Petrol,Car Company,300,221,2022,1
134,Jaguar,F-Type,47.95,38.825,Automatic,Petrol,Car Company,340,250,2017,5
135,Audi,A8,139.899,7.5,Automatic,Electric/Petrol,Car Company,340,250,2022,7
136,Porsche,997,97.99,79.594,Automatic,Petrol,Car Company,521,383,2014,7
137,BMW,X7 M,119.49,18.0,Automatic,Petrol,Car Company,530,390,2021,9
138,Ford,Mustang,40.0,45.975,Manual,Petrol,Car Company,450,331,2020,1
139,BMW,316,18.499,112.0,Automatic,Diesel,Car Company,116,85,2018,1
140,Audi,A3,16.99,83.354,Manual,Diesel,Car Company,110,81,2016,5
141,BMW,Z4,19.9,145.0,Automatic,Petrol,Car Company,163,120,2013,6
142,Ford,Ranger,22.99,78.676,Manual,Diesel,Car Company,200,147,2015,7
143,Volkswagen,Golf,19.92,28.0,Manual,Petrol,Car Company,131,96,2019,10
144,BMW,420,31.8,88.098,Automatic,Diesel,Car Company,190,140,2018,5
145,Maserati,GranCabrio,61.99,104.0,Automatic,Petrol,Car Company,439,323,2010,9
146,BMW,420,26.9,97.0,Automatic,Diesel,Car Company,163,120,2016,8
147,MINI,Cooper,11.99,71.305,Automatic,Petrol,Car Company,122,90,2012,3
148,Jaguar,E-Pace,25.99,98.0,Manual,Diesel,Car Company,150,110,2019,5
149,Jaguar,F-Pace,28.49,52.5,Automatic,Diesel,Car Company,179,132,2016,9
150,Audi,A5,14.999,147.5,Automatic,Petrol,Car Company,179,132,2010,6
151,BMW,iX,126.9,21.312,Automatic,Electric,Car Company,525,386,2021,7
152,Audi,A3,17.499,84.0,Manual,Diesel,Car Company,110,81,2017,2
153,Renault,Espace,19.15,137.367,Automatic,Petrol,Car Company,200,147,2017,6
154,BMW,X5,79.99,44.0,Automatic,Electric/Petrol,Car Company,286,210,2020,12
155,Tesla,Model 3,48.7,15.243,Automatic,Electric,Car Company,334,246,2021,8
156,BMW,M5,96.9,23.6,Automatic,Petrol,Car Company,601,442,2021,5
157,Mercedes-Benz,B 180,20.95,70.8,Automatic,Petrol,Car Company,122,90,2018,1
158,Alfa Romeo,Giulia,59.995,0.0,Automatic,Petrol,Car Company,280,206,2022,4
159,BMW,M2,54.75,23.297,Automatic,Petrol,Car Company,411,302,2018,11
160,Porsche,991,78.95,97.0,Automatic,Petrol,Car Company,400,294,2012,9
161,Renault,Koleos,13.95,82.123,Manual,Diesel,Car Company,150,110,2013,7
162,Jaguar,F-Type,67.8,5.0,Automatic,Petrol,Car Company,300,221,2022,7
